"rayyan_key","location","biome","taxonomic_group","conservation_problem","stakeholder_population","type_of_scientific_evidence","study_design","data_collected","factors_influencing_evidence_use","evidence_discipline","scale_of_study","scale_of_decision_making","type_of_organisation_studied","description_of_decision_type","location_std","continent_raw"
"rayyan-83177646","UK","Forest","Plants","Not reported","Practitioners","Decision-making tools","Surveys, Documentary analysis","Mixed data","Relevance, Rigour, Spatial/temporal scale of evidence, Relationships between colleagues, Social, political, and economic context, Practitioner/policmaker attitude towards evidence use, Capacity and resources, Management","Natural sciences","Multi-region","Local","Community/local organisation, Private sector","Use of i-Tree tool in ecosystem assessments","United Kingdom","Europe"
"rayyan-83177648","USA","Freshwater","Not mentioned","Climate change","Practitioners","No description provided","Interviews","Stakeholder perceptions","Relevance, Scientist-actor relationships, Social, political, and economic context, Management","Natural sciences","Multi-region","Regional","Government/statutory body","Watershed management","United States","Americas"
"rayyan-83177651","USA","Agricultural land","Not mentioned","Land use change","Practitioners","Decision-making tools","Surveys","Stakeholder perceptions","Relevance, Practitioner/policmaker attitude towards evidence use, Practitioner/policymaker research skills, Capacity and resources","Natural sciences","Multi-region","Local","Government/statutory body","Assessment of rangeland health","United States","Americas"
"rayyan-83177670","USA","Not mentioned","Not mentioned","Climate change","Practitioners","Multiple types","Surveys","Stakeholder perceptions","Accessibility of evidence, Format and language, Relevance, Rigour, Uncertainty, Social, political, and economic context, Practitioner/policymaker research skills, Practitioner/policymaker awareness of evidence, Capacity and resources, Management","Natural sciences","Multi-region","Regional","Government/statutory body","Land management","United States","Americas"
"rayyan-83177688","Australia","Freshwater","Not mentioned","Climate change, Water use","Researchers, Practitioners","Peer-reviewed studies","Interviews","Stakeholder perceptions","Scientist-actor relationships, Relationships between colleagues","Natural sciences","Multi-country","Not reported","Government/statutory body, Private sector, Academic institution","","Australia","Oceania"
"rayyan-83177688","South Africa","Freshwater","Not mentioned","Climate change, Water use","Researchers, Practitioners","Peer-reviewed studies","Interviews","Stakeholder perceptions","Scientist-actor relationships, Relationships between colleagues","Natural sciences","Multi-country","Not reported","Government/statutory body, Private sector, Academic institution","","South Africa","Africa"
"rayyan-83177772","USA","Marine","Not mentioned","Not reported","Researchers, Practitioners","No description provided","Surveys, Documentary analysis","Stakeholder perceptions","Existence of evidence, Accessibility of evidence, Format and language, Relevance, Rigour, Source of evidence, Timeliness of evidence, Scientist-actor relationships, Practitioner/policymaker research skills, Capacity and resources, Practitioner/policymaker-stakeholder relationships","Not mentioned","Multi-unit","Regional","Government/statutory body","Development of recovery plans","United States","Americas"
"rayyan-83177554","Canada","Not mentioned","Not mentioned","Not reported","Practitioners, Policymakers","Evidence synthesis","Interviews","Stakeholder perceptions","Existence of evidence, Time lag, Rigour","Not mentioned","Multi-region","National","Government/statutory body, NGO/non-profit","Environmental management","Canada","Americas"
"rayyan-83177705","Colombia","Not mentioned","Not mentioned","Protected area management","Researchers, Practitioners","No description provided","Interviews, Documentary analysis","Mixed data","Rigour, Scientist-actor relationships, Practitioner/policymaker research skills, Capacity and resources","Not mentioned","Multi-region","Local","Government/statutory body, NGO/non-profit, Academic institution","Protected area management","Colombia","Americas"
"rayyan-83177773","USA","Marine","Not mentioned","Not reported","Practitioners","No description provided","Documentary analysis","Document-based data","Existence of evidence","Both natural and social sciences","Multi-unit","Local","Government/statutory body","Ecosystem recovery planning","United States","Americas"
"rayyan-83177834","USA","Freshwater","Fish","Overexploitation","Researchers, Practitioners","No description provided","Interviews","Stakeholder perceptions","Relevance, Rigour, Source of evidence, Timeliness of evidence, Researcher skills and awareness, Practitioner/policymaker research skills","Social sciences","Multi-country","International","Government/statutory body, Indigenous group","Fisheries management","United States","Americas"
"rayyan-83177834","Canada","Freshwater","Fish","Overexploitation","Researchers, Practitioners","No description provided","Interviews","Stakeholder perceptions","Relevance, Rigour, Source of evidence, Timeliness of evidence, Researcher skills and awareness, Practitioner/policymaker research skills","Social sciences","Multi-country","International","Government/statutory body, Indigenous group","Fisheries management","Canada","Americas"
"rayyan-83177869","South Africa","Freshwater","Not mentioned","Not reported","Practitioners","Decision-making tools","Interviews","Stakeholder perceptions","Accessibility of evidence, Format and language, Relevance, Scientist-actor relationships, Social, political, and economic context, Practitioner/policymaker research skills, Capacity and resources, Practitioner/policymaker-stakeholder relationships","Not mentioned","Multi-region","National","Government/statutory body","Freshwater ecosystem management","South Africa","Africa"
"rayyan-83177910","Canada","Not mentioned","Mammals","Human-wildlife conflict","Practitioners","No description provided","Focus groups, Documentary analysis","Mixed data","Time lag, Relevance, Timeliness of evidence, Relationships between colleagues, Social, political, and economic context, Practitioner/policmaker attitude towards evidence use, Capacity and resources, Management","Both natural and social sciences","Multi-unit","Local","Government/statutory body, Community/local organisation","Grizzly bear management","Canada","Americas"
"rayyan-83177922","Sweden","Marine","Not mentioned","Eutrophication, Pollution, Climate Change, Overexploitation","Researchers, Policy analysts, Science communicators, Journalist","No description provided","Interviews","Stakeholder perceptions","Format and language, Scientist-actor relationships, Social, political, and economic context, Researcher skills and awareness, Academic demands on researchers, Culture of researchers, Capacity and resources, Management","Not mentioned","Single","International","Academic institution","Management of the Baltic Sea environment","Sweden","Europe"
"rayyan-83177923","Australia","Not mentioned","Not mentioned","Not reported","Researchers","No description provided","Surveys","Stakeholder perceptions","Scientist-actor relationships, Practitioner/policymaker-stakeholder relationships","Not mentioned","Single","Not reported","Academic institution","None mentioned","Australia","Oceania"
"rayyan-83177931","Sweden","Not mentioned","Not mentioned","Not reported","Practitioners","No description provided","Interviews, Documentary analysis","Mixed data","Relevance, Social, political, and economic context","Not mentioned","Multi-country","Local","Government/statutory body","Protection of the natural environment","Sweden","Europe"
"rayyan-83177931","Poland","Not mentioned","Not mentioned","Not reported","Practitioners","No description provided","Interviews, Documentary analysis","Mixed data","Relevance, Social, political, and economic context","Not mentioned","Multi-country","Local","Government/statutory body","Protection of the natural environment","Poland","Europe"
"rayyan-83177940","USA","Forest","Not mentioned","Fire","Researchers, Practitioners","Peer-reviewed studies","Interviews","Stakeholder perceptions","Existence of evidence, Accessibility of evidence, Format and language, Relevance, Uncertainty, Spatial/temporal scale of evidence, Timeliness of evidence, Scientist-actor relationships, Relationships between colleagues, Academic demands on researchers, Practitioner/policmaker attitude towards evidence use, Practitioner/policymaker research skills, Capacity and resources, Practitioner/policymaker-stakeholder relationships","Natural sciences","Not reported","Not reported","Government/statutory body, NGO/non-profit, Private sector, Academic institution","Fire management in forests","United States","Americas"
"rayyan-83177962","Argentina","Forest","Not mentioned","Land use change","Practitioners, Policymakers","No description provided","Documentary analysis","Document-based data","Social, political, and economic context","Natural sciences","Single","National","Government/statutory body","Law-making related to protection of native forests","Argentina","Americas"
